node,category,doc_frequency,mention_frequency,degree_strength_recomputed,degree_centrality_recomputed,betweenness_centrality_recomputed,eigenvector_centrality_recomputed,community_recomputed
clinical_trial,Clinical_Operations,14,43,49.0,0.45714285714285713,0.10084033613445377,,0
data_integrity,Data,10,11,41.0,0.39999999999999997,0.05210084033613447,,1
oversight,Clinical_Operations,6,9,20.0,0.19999999999999998,0.0050420168067226885,,2
quality_assurance,RBQM,6,13,19.0,0.17142857142857143,0.001680672268907563,,1
interpretability,AI,2,2,10.0,0.14285714285714285,0.0,,1
statistical_modeling,Statistics,2,6,10.0,0.14285714285714285,0.0,,1
quality_risk_assessment,Risk,2,4,10.0,0.14285714285714285,0.0,,1
clinical_study,Clinical_Operations,2,7,8.0,0.11428571428571428,0.0,,2
regulatory_guideline,Governance,2,3,8.0,0.11428571428571428,0.0,,2
adverse_event_reporting,Data,2,3,6.0,0.08571428571428572,0.0,,2
clinical_research,Clinical_Operations,2,3,6.0,0.08571428571428572,0.0,,2
risk_based_monitoring,Monitoring,3,6,5.0,0.05714285714285714,0.0,,0
machine_learning,AI,2,9,4.0,0.05714285714285714,0.0,,0
clinical_quality_assurance,RBQM,2,4,4.0,0.05714285714285714,0.0,,0
site_monitoring,Monitoring,2,2,4.0,0.05714285714285714,0.0,,0
governance,Governance,2,3,2.0,0.02857142857142857,0.0,,0
data_quality,Data,2,5,2.0,0.02857142857142857,0.0,,0
accountability,Governance,1,1,0.0,0.0,0.0,,12
sponsor_oversight,Governance,1,1,0.0,0.0,0.0,,20
roles_responsibilities,Governance,1,1,0.0,0.0,0.0,,19
predictive_modeling,AI,1,1,0.0,0.0,0.0,,18
outlier_detection,AI,1,1,0.0,0.0,0.0,,17
governance_traceability,Governance,1,1,0.0,0.0,0.0,,16
corrective_preventive_action,Governance,1,1,0.0,0.0,0.0,,15
computerized_system,Data,1,1,0.0,0.0,0.0,,14
centralized_monitoring,Monitoring,1,1,0.0,0.0,0.0,,13
quality_by_design,RBQM,1,8,0.0,0.0,0.0,,4
source_data_verification,Monitoring,1,2,0.0,0.0,0.0,,11
remote_auditing,Monitoring,1,2,0.0,0.0,0.0,,10
critical_to_quality,RBQM,1,2,0.0,0.0,0.0,,9
computerized_systems_validation,Governance,1,2,0.0,0.0,0.0,,8
adverse_event_underreporting,Data,1,2,0.0,0.0,0.0,,7
central_statistical_monitoring,Monitoring,1,3,0.0,0.0,0.0,,6
backup_recovery,Data,1,4,0.0,0.0,0.0,,5
quality_tolerance_limit,Risk,1,10,0.0,0.0,0.0,,3
technical_support,Data,1,1,0.0,0.0,0.0,,21
