source,target,weight,first_year,last_year,source_category,target_category
clinical_trial,data_integrity,10,2011,2025,Clinical_Operations,Data
clinical_trial,quality_assurance,6,2011,2025,Clinical_Operations,RBQM
clinical_trial,oversight,6,2011,2022,Clinical_Operations,Clinical_Operations
data_integrity,quality_assurance,5,2011,2025,Data,RBQM
data_integrity,oversight,4,2011,2021,Data,Clinical_Operations
clinical_trial,risk_based_monitoring,3,2023,2025,Clinical_Operations,Monitoring
clinical_trial,statistical_modeling,2,2020,2022,Clinical_Operations,Statistics
data_integrity,interpretability,2,2020,2022,Data,AI
data_integrity,machine_learning,2,2019,2025,Data,AI
data_integrity,quality_risk_assessment,2,2020,2022,Data,Risk
data_integrity,regulatory_guideline,2,2017,2019,Data,Governance
adverse_event_reporting,clinical_trial,2,2011,2019,Data,Clinical_Operations
data_integrity,site_monitoring,2,2021,2025,Data,Monitoring
data_integrity,statistical_modeling,2,2020,2022,Data,Statistics
interpretability,quality_assurance,2,2020,2022,AI,RBQM
interpretability,quality_risk_assessment,2,2020,2022,AI,Risk
interpretability,statistical_modeling,2,2020,2022,AI,Statistics
oversight,quality_assurance,2,2011,2017,Clinical_Operations,RBQM
oversight,regulatory_guideline,2,2017,2019,Clinical_Operations,Governance
quality_assurance,quality_risk_assessment,2,2020,2022,RBQM,Risk
quality_assurance,statistical_modeling,2,2020,2022,RBQM,Statistics
data_integrity,risk_based_monitoring,2,2024,2025,Data,Monitoring
clinical_trial,regulatory_guideline,2,2017,2019,Clinical_Operations,Governance
clinical_trial,site_monitoring,2,2021,2025,Clinical_Operations,Monitoring
adverse_event_reporting,data_integrity,2,2011,2019,Data,Data
adverse_event_reporting,oversight,2,2011,2019,Data,Clinical_Operations
clinical_quality_assurance,clinical_trial,2,2019,2020,RBQM,Clinical_Operations
clinical_quality_assurance,data_integrity,2,2019,2020,RBQM,Data
clinical_research,clinical_trial,2,2017,2021,Clinical_Operations,Clinical_Operations
clinical_research,data_integrity,2,2017,2021,Clinical_Operations,Data
clinical_research,oversight,2,2017,2021,Clinical_Operations,Clinical_Operations
clinical_study,clinical_trial,2,2017,2019,Clinical_Operations,Clinical_Operations
clinical_study,data_integrity,2,2017,2019,Clinical_Operations,Data
clinical_study,oversight,2,2017,2019,Clinical_Operations,Clinical_Operations
clinical_study,regulatory_guideline,2,2017,2019,Clinical_Operations,Governance
clinical_trial,data_quality,2,2011,2023,Clinical_Operations,Data
clinical_trial,governance,2,2016,2023,Clinical_Operations,Governance
clinical_trial,interpretability,2,2020,2022,Clinical_Operations,AI
clinical_trial,machine_learning,2,2019,2025,Clinical_Operations,AI
clinical_trial,quality_risk_assessment,2,2020,2022,Clinical_Operations,Risk
quality_risk_assessment,statistical_modeling,2,2020,2022,Risk,Statistics
